iter	Passed	Remaining
884	3948	513
885	3952	508
886	3956	504
887	3961	499
888	3965	495
889	3969	490
890	3974	486
891	3978	481
892	3983	477
893	3987	472
894	3991	468
895	3996	463
896	4001	459
897	4005	454
898	4009	450
899	4014	446
900	4018	441
901	4022	437
902	4027	432
903	4032	428
904	4036	423
905	4040	419
906	4045	414
907	4049	410
908	4054	405
909	4058	401
910	4062	396
911	4067	392
912	4071	387
913	4075	383
914	4079	378
915	4084	374
916	4088	370
917	4092	365
918	4096	361
919	4101	356
920	4105	352
921	4110	347
922	4114	343
923	4118	338
924	4123	334
925	4128	329
926	4132	325
927	4136	320
928	4141	316
929	4145	312
930	4149	307
931	4154	303
932	4158	298
933	4162	294
934	4167	289
935	4171	285
936	4176	280
937	4181	276
938	4185	271
939	4189	267
940	4194	262
941	4198	258
942	4202	254
943	4206	249
944	4211	245
945	4215	240
946	4219	236
947	4223	231
948	4228	227
949	4232	222
950	4236	218
951	4241	213
952	4245	209
953	4249	204
954	4254	200
955	4258	196
956	4263	191
957	4267	187
958	4271	182
959	4275	178
960	4280	173
961	4284	169
962	4288	164
963	4293	160
964	4297	155
965	4302	151
966	4306	146
967	4311	142
968	4315	138
969	4319	133
970	4324	129
971	4328	124
972	4332	120
973	4336	115
974	4341	111
975	4345	106
976	4349	102
977	4354	97
978	4358	93
979	4362	89
980	4367	84
981	4371	80
982	4375	75
983	4380	71
984	4384	66
985	4389	62
986	4393	57
987	4397	53
988	4401	48
989	4406	44
990	4410	40
991	4415	35
992	4419	31
993	4423	26
994	4427	22
995	4432	17
996	4436	13
997	4440	8
998	4444	4
999	4449	0
